Model,Storage,KRW Self-Direct Price,USD Equivalent,Korea Launch Date,Korea Exclusive Color,Source URL,Fetched At
Galaxy S25,256GB,1155000,N/A,2025-02-07,"코랄레드 / 블루블랙 / 핑크골드 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25,512GB,1298000,N/A,2025-02-07,"코랄레드 / 블루블랙 / 핑크골드 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25+,256GB,1353000,N/A,2025-02-07,"코랄레드 / 블루블랙 / 핑크골드 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25+,512GB,1496000,N/A,2025-02-07,"코랄레드 / 블루블랙 / 핑크골드 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25 Ultra,256GB (12GB RAM),1698400,N/A,2025-02-07,"티타늄 제트블랙 / 티타늄 제이드그린 / 티타늄 핑크골드 (삼성닷컴 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25 Ultra,512GB (12GB RAM),1841400,N/A,2025-02-07,"티타늄 제트블랙 / 티타늄 제이드그린 / 티타늄 핑크골드 (삼성닷컴 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25 Ultra,1TB (12GB RAM),2127400,N/A,2025-02-07,"티타늄 제트블랙 (1TB·16GB RAM, 삼성닷컴 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%9C%EB%A6%AC%EC%A6%88-%EC%82%AC%EC%A0%84-%ED%8C%90%EB%A7%A4-%EC%8B%9C%EC%9E%91,2026-05-29T00:00:00Z
Galaxy S25 Ultra,1TB (16GB RAM),2249500,N/A,2025-02-07,"티타늄 제트블랙 (삼성닷컴 단독 자급제 한정)",https://www.sammobile.com/news/galaxy-s25-ultra-16gb-ram-variant-korea-only-via-samsungs-online-store/,2026-05-29T00:00:00Z
Galaxy Z Fold6,256GB,2229700,N/A,2024-07-24,"크래프티드 블랙 / 화이트 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C6%C2%B7z-%ED%94%8C%EB%A6%BD6-%EC%82%AC%EC%A0%84%ED%8C%90%EB%A7%A4-%EC%8B%A4%EC%8B%9C,2026-05-29T00:00:00Z
Galaxy Z Fold6,512GB,2388100,N/A,2024-07-24,"크래프티드 블랙 / 화이트 (삼성닷컴·삼성 강남 단독)",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C6%C2%B7z-%ED%94%8C%EB%A6%BD6-%EC%82%AC%EC%A0%84%ED%8C%90%EB%A7%A4-%EC%8B%A4%EC%8B%9C,2026-05-29T00:00:00Z
