Model,Color,Storage,RAM,Camera,Display,Battery,Chipset,Release Year,Launch Price USD,Image Path
Galaxy S25,Icyblue,128GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.2" QHD+ Dynamic AMOLED 2X 120Hz,4000mAh,Snapdragon 8 Elite for Galaxy,2025,799.99,s25_icyblue.png
Galaxy S25,Navy,256GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.2" QHD+ Dynamic AMOLED 2X 120Hz,4000mAh,Snapdragon 8 Elite for Galaxy,2025,859.99,s25_navy.png
Galaxy S25,Mint,256GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.2" QHD+ Dynamic AMOLED 2X 120Hz,4000mAh,Snapdragon 8 Elite for Galaxy,2025,859.99,s25_mint.png
Galaxy S25,Silver Shadow,512GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.2" QHD+ Dynamic AMOLED 2X 120Hz,4000mAh,Snapdragon 8 Elite for Galaxy,2025,979.99,s25_silver_shadow.png
Galaxy S25 Plus,Icyblue,256GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.7" QHD+ Dynamic AMOLED 2X 120Hz,4900mAh,Snapdragon 8 Elite for Galaxy,2025,999.99,s25plus_icyblue.png
Galaxy S25 Plus,Navy,256GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.7" QHD+ Dynamic AMOLED 2X 120Hz,4900mAh,Snapdragon 8 Elite for Galaxy,2025,999.99,s25plus_navy.png
Galaxy S25 Plus,Silver Shadow,512GB,12GB,50MP Main + 12MP Ultra Wide + 10MP 3x Telephoto,6.7" QHD+ Dynamic AMOLED 2X 120Hz,4900mAh,Snapdragon 8 Elite for Galaxy,2025,1119.99,s25plus_silver.png
Galaxy S25 Ultra,Titanium Whitesilver,256GB,12GB,200MP Main + 50MP 5x Periscope Telephoto + 10MP 3x Telephoto + 50MP Ultra Wide,6.9" QHD+ Dynamic AMOLED 2X LTPO 120Hz,5000mAh,Snapdragon 8 Elite for Galaxy,2025,1299.99,s25ultra_whitesilver.png
Galaxy S25 Ultra,Titanium Black,512GB,12GB,200MP Main + 50MP 5x Periscope Telephoto + 10MP 3x Telephoto + 50MP Ultra Wide,6.9" QHD+ Dynamic AMOLED 2X LTPO 120Hz,5000mAh,Snapdragon 8 Elite for Galaxy,2025,1419.99,s25ultra_black.png
Galaxy S25 Ultra,Titanium Gray,512GB,12GB,200MP Main + 50MP 5x Periscope Telephoto + 10MP 3x Telephoto + 50MP Ultra Wide,6.9" QHD+ Dynamic AMOLED 2X LTPO 120Hz,5000mAh,Snapdragon 8 Elite for Galaxy,2025,1419.99,s25ultra_gray.png
