Series,Model,Release Date,Display Size,Display Type,Refresh Rate,Resolution,Chipset,CPU,GPU,RAM,Storage Options,Main Camera,Ultrawide,Telephoto,Periscope,Front Camera,Battery,Wired Charging,Wireless Charging,Dimensions,Weight,Build,IP Rating,Colors,Bluetooth,WiFi,USB,OS at Launch,Update Policy,Starting Price USD,Source URL,Galaxy Counterpart
iPhone 16,iPhone 16,2024-09-20,6.1 inch,Super Retina XDR OLED,60Hz,2556 x 1179,Apple A18 (3nm),Hexa-core 2x4.04GHz Everest + 4x2.20GHz Sawtooth,Apple GPU 5-core,8GB,128GB/256GB/512GB,48MP f/1.6 Fusion OIS,12MP f/2.2 120deg,N/A,N/A,12MP f/1.9 TrueDepth,3561mAh,20W PD,25W MagSafe + 15W Qi2,147.6 x 71.6 x 7.8 mm,170g,Aerospace aluminum + Ceramic Shield,IP68 6m 30min,Black/White/Pink/Teal/Ultramarine,5.3,Wi-Fi 7,USB-C 2.0,iOS 18,Apple historical ~5-7yr (not formal),799,https://www.gsmarena.com/apple_iphone_16-13317.php,Galaxy S25
iPhone 16,iPhone 16 Plus,2024-09-20,6.7 inch,Super Retina XDR OLED,60Hz,2796 x 1290,Apple A18 (3nm),Hexa-core 2x4.04GHz Everest + 4x2.20GHz Sawtooth,Apple GPU 5-core,8GB,128GB/256GB/512GB,48MP f/1.6 Fusion OIS,12MP f/2.2 120deg,N/A,N/A,12MP f/1.9 TrueDepth,4674mAh,20W PD,25W MagSafe + 15W Qi2,160.9 x 77.8 x 7.8 mm,199g,Aerospace aluminum + Ceramic Shield,IP68 6m 30min,Black/White/Pink/Teal/Ultramarine,5.3,Wi-Fi 7,USB-C 2.0,iOS 18,Apple historical ~5-7yr (not formal),899,https://www.gsmarena.com/apple_iphone_16_plus-13318.php,Galaxy S25 Plus
iPhone 16,iPhone 16 Pro,2024-09-20,6.3 inch,LTPO Super Retina XDR OLED,120Hz,2622 x 1206,Apple A18 Pro (3nm),Hexa-core 2x4.05 + 4x2.42 GHz,Apple GPU 6-core (HW RT),8GB,128GB/256GB/512GB/1TB,48MP f/1.78 Fusion OIS,48MP f/2.2 120deg AF macro,12MP f/2.8 5x periscope (tetraprism),Yes,12MP f/1.9 TrueDepth,3582mAh,27W PD,25W MagSafe + 15W Qi2,149.6 x 71.5 x 8.25 mm,199g,Grade 5 titanium + Ceramic Shield 2,IP68 6m 30min,Black Titanium/White Titanium/Natural Titanium/Desert Titanium,5.3,Wi-Fi 7,USB-C 3.2 (10Gbps),iOS 18,Apple historical ~5-7yr (not formal),999,https://www.gsmarena.com/apple_iphone_16_pro-13315.php,Galaxy S25 Ultra
iPhone 16,iPhone 16 Pro Max,2024-09-20,6.9 inch,LTPO Super Retina XDR OLED,120Hz,2868 x 1320,Apple A18 Pro (3nm),Hexa-core 2x4.05 + 4x2.42 GHz,Apple GPU 6-core (HW RT),8GB,256GB/512GB/1TB,48MP f/1.78 Fusion OIS,48MP f/2.2 120deg AF macro,12MP f/2.8 5x periscope (tetraprism),Yes,12MP f/1.9 TrueDepth,4685mAh,27W PD,25W MagSafe + 15W Qi2,163.0 x 77.6 x 8.25 mm,227g,Grade 5 titanium + Ceramic Shield 2,IP68 6m 30min,Black Titanium/White Titanium/Natural Titanium/Desert Titanium,5.3,Wi-Fi 7,USB-C 3.2 (10Gbps),iOS 18,Apple historical ~5-7yr (not formal),1199,https://www.gsmarena.com/apple_iphone_16_pro_max-13316.php,Galaxy S25 Ultra
Pixel 9,Pixel 9,2024-08-22,6.3 inch,Actua OLED LTPS,120Hz,2424 x 1080,Google Tensor G4 (4nm Samsung),Octa-core 1x3.1 X4 + 3x2.6 A720 + 4x1.92 A520,Mali-G715 MC7,12GB,128GB/256GB,50MP f/1.68 OIS,48MP f/1.7 123deg macro,N/A,N/A,10.5MP f/2.2,4700mAh,27W PD3.0 PPS,15W Qi,152.8 x 72.0 x 8.5 mm,198g,Aluminum + Gorilla Glass Victus 2,IP68 1.5m 30min,Obsidian/Porcelain/Wintergreen/Peony,5.3,Wi-Fi 7,USB-C 3.2 Gen 2,Android 14,7 years OS + security,799,https://www.gsmarena.com/google_pixel_9-13218.php,Galaxy S25
Pixel 9,Pixel 9 Pro,2024-08-22,6.3 inch,Super Actua LTPO OLED,120Hz,2856 x 1280,Google Tensor G4 (4nm Samsung),Octa-core 1x3.1 X4 + 3x2.6 A720 + 4x1.92 A520,Mali-G715 MC7,16GB,128GB/256GB/512GB/1TB,50MP f/1.68 OIS,48MP f/1.7 123deg macro,48MP f/2.8 5x periscope OIS,Yes,42MP f/2.2 AF,4700mAh,27W PD,21W Pixel Stand,152.8 x 72.0 x 8.5 mm,199g,Polished aluminum + matte glass,IP68 1.5m 30min,Obsidian/Porcelain/Hazel/Rose Quartz,5.3,Wi-Fi 7,USB-C 3.2 Gen 2,Android 14,7 years OS + security,999,https://www.gsmarena.com/google_pixel_9_pro-13219.php,Galaxy S25
Pixel 9,Pixel 9 Pro XL,2024-08-22,6.8 inch,Super Actua LTPO OLED,120Hz,2992 x 1344,Google Tensor G4 (4nm Samsung),Octa-core 1x3.1 X4 + 3x2.6 A720 + 4x1.92 A520,Mali-G715 MC7,16GB,128GB/256GB/512GB/1TB,50MP f/1.68 OIS,48MP f/1.7 123deg macro,48MP f/2.8 5x periscope OIS,Yes,42MP f/2.2 AF,5060mAh,37W PD,23W Pixel Stand,162.8 x 76.6 x 8.5 mm,221g,Polished aluminum + matte glass,IP68 1.5m 30min,Obsidian/Porcelain/Hazel/Rose Quartz,5.3,Wi-Fi 7,USB-C 3.2 Gen 2,Android 14,7 years OS + security,1099,https://www.gsmarena.com/google_pixel_9_pro_xl-13217.php,Galaxy S25 Ultra
Pixel 9,Pixel 9 Pro Fold,2024-09-04,8.0 inch (inner) / 6.3 inch (cover),LTPO OLED foldable + Actua OLED cover,120Hz,2152 x 2076 inner / 2424 x 1080 cover,Google Tensor G4 (4nm Samsung),Octa-core 1x3.1 X4 + 3x2.6 A720 + 4x1.92 A520,Mali-G715 MC7,16GB,256GB/512GB,48MP f/1.7 OIS,10.5MP f/2.2 127deg,10.8MP f/3.1 5x optical OIS,N/A,10MP f/2.2 (cover & inner),4650mAh,21W,7.5W Qi,155.2 x 150.2 x 5.1 mm unfolded,257g,Aluminum frame,IPX8 water only,Obsidian/Porcelain,5.3,Wi-Fi 7,USB-C 3.2 Gen 2,Android 14,7 years OS + security,1799,https://www.gsmarena.com/google_pixel_9_pro_fold-13220.php,Galaxy Z Fold6
Xiaomi 14,Xiaomi 14,2024-02-25,6.36 inch,LTPO OLED,120Hz,2670 x 1200,Snapdragon 8 Gen 3 (4nm),Octa-core 1x3.3 X4 + 3x3.2 A720 + 2x3.0 A720 + 2x2.3 A520,Adreno 750,8GB/12GB/16GB,256GB/512GB/1TB,50MP f/1.6 Light Hunter 900 OIS (Leica Summilux),50MP f/2.2 115deg,50MP f/2.0 3.2x floating OIS,N/A,32MP f/2.0,4610mAh,90W HyperCharge,50W wireless,152.8 x 71.5 x 8.2 mm,193g,Aluminum + Xiaomi Shield Glass,IP68 1.5m 30min,Black/White/Jade Green/Pink/Rock Blue,5.4,Wi-Fi 7,USB-C 3.2 Gen 1,Android 14 + HyperOS,4 OS + 5 security,999,https://www.gsmarena.com/xiaomi_14-12747.php,Galaxy S25
Xiaomi 14,Xiaomi 14 Pro,2023-10-26,6.73 inch,LTPO AMOLED,120Hz,3200 x 1440,Snapdragon 8 Gen 3 (4nm),Octa-core 1x3.3 X4 + 3x3.2 A720 + 2x3.0 A720 + 2x2.3 A520,Adreno 750,12GB/16GB,256GB/512GB/1TB,50MP f/1.42-f/4.0 variable OIS,50MP f/2.2 115deg,50MP f/2.0 3.2x floating OIS,N/A,32MP f/2.0,4880mAh,120W HyperCharge,50W wireless,161.4 x 75.3 x 8.5 mm,223g,Aluminum or Titanium edition,IP68 1.5m 30min,Black/White/Green/Rock Blue/Titanium,5.4,Wi-Fi 7,USB-C 3.2,Android 14 + HyperOS (China),4 OS + 5 security,N/A,https://www.gsmarena.com/xiaomi_14_pro-12762.php,Galaxy S25 Plus
